dataset_index,title,cluster_id,title_length,cluster_label
0,How to Wash Your Hands the Right Way,3,36,School & Friendship
1,Brushing My Teeth Before Bed,12,28,Animals & Food
2,Tying My Shoelaces by Myself,10,28,Animals & Family
3,Combing and Styling My Hair,12,27,Animals & Food
4,Taking a Bath Safely,12,20,Animals & Food
5,Folding Laundry with a Grown-Up,3,31,School & Friendship
6,Wiping the Table After Meals,3,28,School & Friendship
7,Cleaning Up My Toys,3,19,School & Friendship
8,Watering House Plants,12,21,Animals & Food
9,Feeding My Pet the Right Amount,9,31,Animals & Family
10,Sorting Garbage for Recycling,8,29,School & Friendship
11,Using a Napkin While Eating,12,27,Animals & Food
12,Setting the Table for Dinner,9,28,Animals & Family
13,Making My Bed Each Morning,4,26,Animals & Family
14,Wiping My Mouth After Eating,12,28,Animals & Food
15,Dressing Properly for Cold Weather,12,34,Animals & Food
16,Checking the Weather Before Going Out,4,37,Animals & Family
17,Keeping My Books in Order,8,25,School & Friendship
18,Using Scissors Safely,10,21,Animals & Family
19,Washing My Face in the Morning,12,30,Animals & Food
20,Putting On My Socks the Easy Way,10,32,Animals & Family
21,Taking a Shower Without Splashing Everywhere,12,44,Animals & Food
22,Trimming My Fingernails,12,23,Animals & Food
23,How to Tie a Ponytail,10,21,Animals & Family
24,Buttoning and Zipping Clothes,10,29,Animals & Family
25,Loading the Dishwasher with Help,3,32,School & Friendship
26,Sweeping the Floor Carefully,3,28,School & Friendship
27,Packing My School Bag Neatly,8,28,School & Friendship
28,Wrapping a Gift for Someone,10,27,Animals & Family
29,Placing My Toys Back on the Shelf,10,33,Animals & Family
30,Taking Care of a Small Scratch,10,30,Animals & Family
31,Hanging Up My Jacket,4,20,Animals & Family
32,Flossing My Teeth Gently,12,24,Animals & Food
33,Washing Fruit Before Eating It,12,30,Animals & Food
34,Using a Tissue to Blow My Nose,12,30,Animals & Food
35,Sharing Toys with My Siblings,10,29,Animals & Family
36,Pouring a Drink Without Spilling,9,32,Animals & Family
37,Putting On and Taking Off a Face Mask,12,37,Animals & Food
38,Cleaning Hair from the Bathroom Floor,3,37,School & Friendship
39,Sorting My Clothes by Color,8,27,School & Friendship
40,Storing Leftover Food in the Fridge,9,35,Animals & Family
41,Wiping the Kitchen Counter After Cooking,3,40,School & Friendship
42,Polishing My Shoes,3,18,School & Friendship
43,Brushing My Pet’s Fur,12,21,Animals & Food
44,Locking Doors Before Leaving Home,4,33,Animals & Family
45,Folding a T-Shirt Nicely,10,24,Animals & Family
46,Using a Step Stool Safely,4,25,Animals & Family
47,Washing Dishes by Hand,3,22,School & Friendship
48,Checking If My Shoes Are on the Correct Feet,4,44,Animals & Family
49,Drying My Hands with a Towel,3,28,School & Friendship
50,Washing Fruit Properly to Remove Germs,3,38,School & Friendship
51,Charging My Gadget Safely,10,25,Animals & Family
52,Tucking in My Shirt,4,19,Animals & Family
53,Organizing Clean Clothes in the Closet,3,38,School & Friendship
54,Writing a Short Thank-You Note,5,30,Animals & Family
55,Drawing a Simple Daily Schedule,8,31,School & Friendship
56,Carrying Small Items Carefully,10,30,Animals & Family
57,Putting Toys into Boxes or Bins,10,31,Animals & Family
58,Drawing a Bath at the Right Temperature,12,39,Animals & Food
59,Keeping My Bedroom Tidy Every Day,3,33,School & Friendship
60,Folding a Paper Airplane,10,24,Animals & Family
61,Keeping My Toothbrush Clean,12,27,Animals & Food
62,Preparing My School Supplies for Class,8,38,School & Friendship
63,Sweeping Leaves Off the Porch,3,29,School & Friendship
64,Cleaning Windows with a Cloth,3,29,School & Friendship
65,Watering a Small Garden or Flower Pot,9,37,Animals & Family
66,Picking Up Litter in the Yard,4,29,Animals & Family
67,Making a Simple Snack by Myself,9,31,Animals & Family
68,Arranging My Books by Size,8,26,School & Friendship
69,Pouring My Own Cereal for Breakfast,9,35,Animals & Family
70,Plugging and Unplugging Electronics Carefully,10,45,Animals & Family
71,Storing Art Supplies in a Box,8,29,School & Friendship
72,Filling Ice Cube Trays,9,22,Animals & Family
73,Wiping My Shoes on a Doormat,3,28,School & Friendship
74,Using a Disinfectant Wipe Correctly,3,35,School & Friendship
75,Cutting Herbs with Kid-Safe Scissors,10,36,Animals & Family
76,Tying a Simple Knot for Crafts,10,30,Animals & Family
77,Using a Broom and Dustpan,3,25,School & Friendship
78,Closing and Locking Windows,10,27,Animals & Family
79,Rolling Up My Sleeves for Washing,3,33,School & Friendship
80,Checking the Milk’s Expiration Date,12,35,Animals & Food
81,Rolling Dough for Simple Cookies,10,32,Animals & Family
82,Cleaning Up Spills to Avoid Slips,3,33,School & Friendship
83,Labeling My School Supplies,8,27,School & Friendship
84,Marking My Name on My Backpack,8,30,School & Friendship
85,Turning On a Flashlight Safely,4,30,Animals & Family
86,Cleaning the Bathroom Sink,3,26,School & Friendship
87,Keeping Hair Out of My Face While Eating,12,40,Animals & Food
88,Turning Off the Faucet Tightly,12,30,Animals & Food
89,Changing the Toilet Paper Roll,10,30,Animals & Family
90,Holding a Pencil the Right Way,10,30,Animals & Family
91,Cutting Paper in a Straight Line,10,32,Animals & Family
92,Washing Vegetables for a Salad,3,30,School & Friendship
93,Sealing Leftovers in a Container,9,32,Animals & Family
94,Handling Small Tools with Grown-Up Supervision,10,46,Animals & Family
95,Folding a Towel Neatly,3,22,School & Friendship
96,Listening for the Timer When Cooking,9,36,Animals & Family
97,Using a Stapler Carefully,10,25,Animals & Family
98,Looking for Things That Might Make Me Trip,6,42,Animals & Family
99,Rinsing the Sink After Brushing My Teeth,12,40,Animals & Food
100,Keeping My Glasses Clean,3,24,School & Friendship
101,Eating with a Fork and Spoon the Right Way,9,42,Animals & Family
102,Mopping Up a Minor Water Spill,3,30,School & Friendship
103,Tasting Food Before Adding Extra Salt,9,37,Animals & Family
104,Using a Safety Pin with an Adult’s Help,10,39,Animals & Family
105,Double-Checking My Shoelaces Before Leaving,4,43,Animals & Family
106,Hanging Up Wet Towels,3,21,School & Friendship
107,Putting Dirty Laundry in a Hamper,3,33,School & Friendship
108,Feeding a Goldfish the Correct Amount,9,37,Animals & Family
109,Turning Off Lights to Save Energy,4,33,Animals & Family
110,Dabbing Stains on My Clothes,3,28,School & Friendship
111,Using a Bib for a Younger Sibling,10,33,Animals & Family
112,Opening and Closing Car Doors Safely,10,36,Animals & Family
113,Buckling My Seat Belt,4,21,Animals & Family
114,Using a Reusable Water Bottle,10,29,Animals & Family
115,Gently Wiping a Computer Screen,3,31,School & Friendship
116,Bringing My Own Utensils for Lunch,9,34,Animals & Family
117,Unpacking and Sorting Groceries,8,31,School & Friendship
118,Making a Bedtime Checklist,8,26,School & Friendship
119,Checking the Mailbox for Letters,4,32,Animals & Family
120,Washing My Toys Once in a While,3,31,School & Friendship
121,Cleaning the Table After Arts and Crafts,3,40,School & Friendship
122,Keeping My Desk Ready for Homework,8,34,School & Friendship
123,Covering My Mouth When I Sneeze,12,31,Animals & Food
124,Sealing a Plastic Bag by Myself,10,31,Animals & Family
125,What Is a Chair and Why Do We Use It?,0,37,Animals & School
126,Why Do We Sleep in a Bed?,7,25,Animals & School
127,Exploring What Windows Do,0,25,Animals & School
128,Understanding What Doors Are For,0,32,Animals & School
129,What Is a Table and How Do We Use It?,0,37,Animals & School
130,Why Do We Wear Shoes?,7,21,Animals & School
131,What Is a Backpack?,0,19,Animals & School
132,Why Do People Use Umbrellas?,7,28,Animals & School
133,What Is a Couch?,0,16,Animals & School
134,The Purpose of a Pillow,7,23,Animals & School
135,What Is a Bicycle?,0,18,Animals & School
136,Why Do We Have Gardens?,7,23,Animals & School
137,What Is a Light Bulb?,0,21,Animals & School
138,Discovering the Idea of a Stove,9,31,Animals & Family
139,Why Do We Need a Refrigerator?,7,30,Animals & School
140,What Is a Television?,0,21,Animals & School
141,How a Remote Control Helps Us,5,29,Animals & Family
142,Why Houses Have Walls,7,21,Animals & School
143,What Are Stairs For?,0,20,Animals & School
144,The Difference Between a Spoon and Fork,9,39,Animals & Family
145,Understanding What a Towel Is,3,29,School & Friendship
146,Why Do We Use Soap?,7,19,Animals & School
147,What Is a Bathtub?,0,18,Animals & School
148,The Purpose of a Mirror,7,23,Animals & School
149,What Is a Closet?,0,17,Animals & School
150,Why Do We Hang Curtains?,7,24,Animals & School
151,What Is a Carpet?,0,17,Animals & School
152,Why Doors Need Locks,7,20,Animals & School
153,What Is a Window Screen?,0,24,Animals & School
154,What Is a Trash Can For?,0,24,Animals & School
155,Why We Need a Water Bottle,7,26,Animals & School
156,Understanding the Idea of Keys,0,30,Animals & School
157,What Is a Fence?,0,16,Animals & School
158,Why Do Some Clothes Have Zippers?,7,33,Animals & School
159,What Is a Belt?,0,15,Animals & School
160,Exploring Why Raincoats Are Useful,7,34,Animals & School
161,Why We Use Toothpaste,12,21,Animals & Food
162,What Is a School Desk For?,0,26,Animals & School
163,Why We Read Books,7,17,Animals & School
164,What Is a Lunchbox?,0,19,Animals & School
165,Understanding What Crayons Are,0,30,Animals & School
166,Why We Sharpen Pencils,7,22,Animals & School
167,What Is an Eraser?,0,18,Animals & School
168,What Is Glue and When Do We Use It?,7,35,Animals & School
169,Discovering the Purpose of a Scarf,10,34,Animals & Family
170,Why Chairs Sometimes Have Cushions,7,34,Animals & School
171,What Is an Alarm Clock?,0,23,Animals & School
172,Understanding a Mobile Phone,0,28,Animals & School
173,What Is a Computer Mouse?,0,25,Animals & School
174,Why a Keyboard Helps Us Type,7,28,Animals & School
175,What Are Headphones Used For?,0,29,Animals & School
176,Why We Need a Charger,7,21,Animals & School
177,What Is a Camera?,0,17,Animals & School
178,Why Do We Use a Calendar?,7,25,Animals & School
179,Understanding Dates and Why They Matter,11,39,Family & School
180,What Is a Drawer For?,0,21,Animals & School
181,Why We Put Letters in Envelopes,7,31,Animals & School
182,What Is a Stamp?,0,16,Animals & School
183,Why We Have Libraries,7,21,Animals & School
184,How Books Are Arranged on Shelves,8,33,School & Friendship
185,What Is a Bookmark?,0,19,Animals & School
186,Why We Need Pens,7,16,Animals & School
187,Why Paper Comes in Different Sizes,7,34,Animals & School
188,Understanding the Ceiling Above Us,11,34,Family & School
189,What Is a Floor?,0,16,Animals & School
190,Why Do We Wear Socks?,7,21,Animals & School
191,The Role of a Coat,7,18,Animals & School
192,What Are Gloves For?,7,20,Animals & School
193,What Is a Basket and Why Use It?,0,32,Animals & School
194,Why We Have Mops,7,16,Animals & School
195,Exploring What Candles Do,10,25,Animals & Family
196,What Is a Vacuum Cleaner?,0,25,Animals & School
197,Why We Use Washing Machines,3,27,School & Friendship
198,What Is a Clothes Dryer?,3,24,School & Friendship
199,Understanding a Kitchen Counter,0,31,Animals & School
200,Why Do People Follow Recipes?,9,29,Animals & Family
201,What Is a Sink and How It Helps,0,31,Animals & School
202,Why Some Kids Ride a School Bus,7,31,Animals & School
203,What Are Street Signs For?,0,26,Animals & School
204,Why Schools Have Playgrounds,7,28,Animals & School
205,What Is a Park?,0,15,Animals & School
206,Why Sidewalks Keep Us Safe,7,26,Animals & School
207,Understanding a Stoplight,0,25,Animals & School
208,What Is a Hospital?,0,19,Animals & School
209,Why Do People Go to Clinics?,7,28,Animals & School
210,What Is a Post Office?,0,22,Animals & School
211,Why Do We Use Money?,7,20,Animals & School
212,What Is a Piggy Bank?,0,21,Animals & School
213,Exploring the Idea of a Store,0,29,Animals & School
214,Why Some Stores Are Called Supermarkets,0,39,Animals & School
215,What Is a Receipt?,0,18,Animals & School
216,Why Coins and Bills Are Different,7,33,Animals & School
217,What Is a Credit Card?,0,22,Animals & School
218,Why Do We Have Banks?,7,21,Animals & School
219,What Are Savings For?,0,21,Animals & School
220,What Is a Pet and Why We Have Them,0,34,Animals & School
221,Understanding the Idea of a Dog,0,31,Animals & School
222,What Is a Cat?,0,14,Animals & School
223,Why People Keep Fish in Tanks,7,29,Animals & School
224,What Is a Birdcage?,0,19,Animals & School
225,Who Is a Veterinarian?,0,22,Animals & School
226,Why Schools Have Lunch Breaks,7,29,Animals & School
227,What Is Recess at School?,2,25,Family & School
228,Exploring What a Classroom Is,2,29,Family & School
229,Why We Have Homework,7,20,Animals & School
230,What Are School Uniforms?,7,25,Animals & School
231,Who Is the Principal?,2,21,Family & School
232,Why Teachers Help Us Learn,7,26,Animals & School
233,What Is a Chalkboard?,0,21,Animals & School
234,What Is a Dictionary Used For?,0,30,Animals & School
235,Why Schools Have a Bell,7,23,Animals & School
236,What Is a Playground Slide?,0,27,Animals & School
237,Understanding the Gym at School,14,31,Animals & Family
238,What Is a Cafeteria?,0,20,Animals & School
239,Why Do Some Kids Have Lockers?,7,30,Animals & School
240,What Is a Hallway?,0,18,Animals & School
241,Why We Play Games at Recess,7,27,Animals & School
242,What Is a Friend?,0,17,Animals & School
243,Why Our Families Are Important,7,30,Animals & School
244,Understanding Respect,11,21,Family & School
245,What Does Sharing Mean?,11,23,Family & School
246,Why We Celebrate Birthdays,7,26,Animals & School
247,What Is the Idea of a Holiday?,0,30,Animals & School
248,Why Do We Have Seasons?,7,23,Animals & School
249,Understanding What a Weekend Is,6,31,Animals & Family
250,Attending My First Virtual Class,2,32,Family & School
251,Learning to Face Math Test Anxiety,1,34,Animals & School
252,Making a New Friend from Another Country Online,13,47,School & Adventure
253,Exploring a Digital Art Museum Tour,6,35,Animals & Family
254,Helping Serve Meals at a Community Kitchen,9,42,Animals & Family
255,Adopting a Stray Animal,6,23,Animals & Family
256,Touring a Solar Power Farm,6,26,Animals & Family
257,Experiencing an Online Music Concert,13,36,School & Adventure
258,Visiting a Tech Expo with My Parents,2,36,Family & School
259,Reporting a Cyberbully to a Teacher,13,35,School & Adventure
260,Staying Calm During a Severe Weather Warning,1,44,Animals & School
261,Trying a Student Exchange Program,2,33,Family & School
262,Attending a Coding Club for Beginners,14,37,Animals & Family
263,Going to a School Debate,2,24,Family & School
264,Witnessing a Friend Experience Homesickness,5,43,Animals & Family
265,Exploring a Space Camp for Kids,6,31,Animals & Family
266,Understanding Online Fundraising,13,32,School & Adventure
267,Joining a Community Litter Patrol,6,33,Animals & Family
268,Creating an Eco-Friendly Garden at School,2,41,Family & School
269,Participating in a Virtual Book Club,2,36,Family & School
270,First Time Doing Home Quarantine,4,32,Animals & Family
271,Visiting a Police Station for Safety Lessons,14,44,Animals & Family
272,Experiencing the Day Without Gadgets,4,36,Animals & Family
273,Attending a Homeschool Group Event,2,34,Family & School
274,Checking Out an E-Sports Tournament,14,35,Animals & Family
275,Going to a Language Exchange Café,2,33,Family & School
276,Meeting a Friend with a Different Religion,5,42,Animals & Family
277,Bringing Supplies to a Flooded Region,6,37,Animals & Family
278,Helping My Neighbor with Tech Problems,10,38,Animals & Family
279,Visiting a Food Bank Donation Drive,9,35,Animals & Family
280,Hosting an Online Talent Show,13,29,School & Adventure
281,Learning About Local Government on a Field Trip,6,47,Animals & Family
282,Understanding a Family Member’s Disability,5,42,Animals & Family
283,Meeting a Sign Language Interpreter,2,35,Family & School
284,Exploring a Virtual Museum Overseas,6,35,Animals & Family
285,Learning to Cook a Dish from Another Country,9,44,Animals & Family
286,Having a Sleepover in a Different Culture,2,41,Family & School
287,Experiencing a Virtual Reality Game Competition,14,47,Animals & Family
288,First Time at a Farmers’ Market Abroad,6,38,Animals & Family
289,Visiting an Elderly Pen Pal at a Nursing Home,5,45,Animals & Family
290,Attending a Friendsgiving Celebration,2,37,Family & School
291,Creating a School Recycling Drive,8,33,School & Friendship
292,Trying a Walkathon for a Global Cause,4,37,Animals & Family
293,Hosting a Video Call with Distant Relatives,13,43,School & Adventure
294,Exploring Environmental Problems in My Town,6,43,Animals & Family
295,Visiting a Monument That Honors History,6,39,Animals & Family
296,Staying Resilient During a City Lockdown,4,40,Animals & Family
297,Working with an Online Study Buddy,13,34,School & Adventure
298,Joining an International Kids’ Conference,2,41,Family & School
299,Facing My Fear of Shots at the Clinic,4,37,Animals & Family
300,Meeting People from Different Cultures at Camp,6,46,Animals & Family
301,Donating Clothes for Winter Relief,10,34,Animals & Family
302,Finding Courage to Speak at a School Assembly,2,45,Family & School
303,Observing a Special Holiday in Another Country,6,46,Animals & Family
304,Dealing with Homesickness at Boarding School,2,44,Family & School
305,Attending a Health Checkup Alone,4,32,Animals & Family
306,Joining a Local Youth Council,2,29,Family & School
307,Finding a Safe Space Online,13,27,School & Adventure
308,Learning to Bake and Sell Goods for Charity,9,43,Animals & Family
309,Observing a Protest Peacefully,4,30,Animals & Family
310,Participating in a Global Reading Challenge,8,43,School & Friendship
311,Exploring an Online Language App,13,32,School & Adventure
312,Attending a Neighborhood Disaster Drill,6,39,Animals & Family
313,Using Public Wi-Fi Safely,13,25,School & Adventure
314,Raising Funds for an Orphanage,5,30,Animals & Family
315,Visiting a Virtual Career Fair,6,30,Animals & Family
316,Spending a Weekend Helping an Elderly Neighbor,5,46,Animals & Family
317,Teaching My Grandparents to Use Smartphones,10,43,Animals & Family
318,Coping with Rainy Day Blues Indoors,4,35,Animals & Family
319,Visiting a Different Ethnic Neighborhood,6,40,Animals & Family
320,Volunteering as a Playground Buddy,14,34,Animals & Family
321,Meeting a Buddy from a Refugee Family,5,37,Animals & Family
322,Going on a History Tour in My Town,6,34,Animals & Family
323,Cheering Up a Friend Who Lost a Pet,5,35,Animals & Family
324,Practicing for a Local Talent Competition,14,41,Animals & Family
325,Handling Lost Luggage While Traveling,10,37,Animals & Family
326,Organizing a Yard Sale for Community Aid,5,40,Animals & Family
327,Spending a Holiday with a Host Family Abroad,6,44,Animals & Family
328,Walking Home Alone for the First Time,4,37,Animals & Family
329,Learning to Use the Subway in a Big City,14,40,Animals & Family
330,Exploring a Virtual Safari,6,26,Animals & Family
331,Understanding School Lockdown Drills,14,36,Animals & Family
332,Hosting a Digital Gaming Night with Friends,13,43,School & Adventure
333,Helping a Relative in the Hospital,5,34,Animals & Family
334,How to Safely Download Apps,13,27,School & Adventure
335,Spotting Fake News Online,13,25,School & Adventure
336,Securing My Social Media Accounts,13,33,School & Adventure
337,Creating a Strong Password,10,26,Animals & Family
338,Basics of Cyber Etiquette,13,25,School & Adventure
339,Building Healthy Screen Time Habits,4,35,Animals & Family
340,Comparing News Sources for Truth,13,32,School & Adventure
341,Planning a Basic Emergency Kit,10,30,Animals & Family
342,Practicing Earthquake Safety at Home,14,36,Animals & Family
343,How to Evacuate During a Fire,4,29,Animals & Family
344,Asking for Help from a Stranger Safely,5,38,Animals & Family
345,Resolving Problems in a Group Chat,1,34,Animals & School
346,Keeping My Personal Data Private,13,32,School & Adventure
347,Deciding Which Websites to Trust,13,32,School & Adventure
348,Approaching an Adult When I Feel Unsafe,4,39,Animals & Family
349,Simple Steps to Write a Creative Story,2,38,Family & School
350,Building a Basic Robot Project,10,30,Animals & Family
351,Debugging a Simple Computer Code,10,32,Animals & Family
352,How to Brainstorm New Ideas,8,27,School & Friendship
353,Planning a School Club Meeting,2,30,Family & School
354,Polite Ways to Decline an Invitation,1,36,Animals & School
355,How to Conserve Energy at Home,4,30,Animals & Family
356,Staying Calm If I Lose Internet Connection,1,42,Animals & School
357,Making a Mind Map for Critical Thinking,11,39,Family & School
358,Cooking a Healthy Snack Independently,9,37,Animals & Family
359,How to Safely Seek Help in Public,5,33,Animals & Family
360,Handling Conflict Over Text Messages,1,36,Animals & School
361,Ways to Organize Information for a Project,8,42,School & Friendship
362,Offering Constructive Feedback,1,30,Animals & School
363,How to Manage My Time Online,13,28,School & Adventure
364,Speaking Confidently on Video Calls,1,35,Animals & School
365,Running a Simple Experiment at Home,10,35,Animals & Family
366,Keeping a Positive Attitude When Gaming,1,39,Animals & School
367,Solving Simple Tech Issues on My Own,10,36,Animals & Family
368,Evaluating a Website’s Credibility,13,34,School & Adventure
369,Giving a Mini Presentation at School,2,36,Family & School
370,Handling Anxiety During a Test,1,30,Animals & School
371,Designing a Fun Science Model,2,29,Family & School
372,How to Approach a School Counselor,2,34,Family & School
373,Explaining My Side in an Argument Calmly,1,40,Animals & School
374,Creating a Family Evacuation Plan,4,33,Animals & Family
375,Getting Adults’ Help When I’m Bullied Online,13,44,School & Adventure
376,Finding Safe Apps for Learning,14,30,Animals & Family
377,Protecting My Eyes from Too Much Screen Time,4,44,Animals & Family
378,Ways to Practice Empathy Online,13,31,School & Adventure
379,Using Online Forums Respectfully,13,32,School & Adventure
380,Building a Simple DIY Invention,10,31,Animals & Family
381,How to Fact-Check a Video,13,25,School & Adventure
382,Finding Reliable Health Information,13,35,School & Adventure
383,Managing My Emotions During a Crisis,1,36,Animals & School
384,Refusing Peer Pressure with Confidence,1,38,Animals & School
385,Sharing Digital Devices Fairly,13,30,School & Adventure
386,Reacting Properly to a Stranger’s Request Online,13,48,School & Adventure
387,Writing a Persuasive Mini-Essay,2,31,Family & School
388,Telling Real Emergencies from Minor Problems,1,44,Animals & School
389,Supporting a Friend with Anxiety,5,32,Animals & Family
390,Picking Out Credible Books for a Report,8,39,School & Friendship
391,Making a Backup of Important Files,8,34,School & Friendship
392,Speaking Assertively but Kindly,1,31,Animals & School
393,Solving Minor Tech Glitches at School,10,37,Animals & Family
394,Staying Organized in a Group Project,8,36,School & Friendship
395,Brainstorming Eco-Friendly Solutions,8,36,School & Friendship
396,Learning Basic Sign Language Online,14,35,Animals & Family
397,Reading Digital Articles with Caution,13,37,School & Adventure
398,Preparing a Home Fire Escape Drill,10,34,Animals & Family
399,Creating a Scrapbook of My Creative Ideas,8,41,School & Friendship
400,Finding Ways to Stay Calm in a Crowd,1,36,Animals & School
401,Developing My Own Study Checklist,8,33,School & Friendship
402,Improving My Online Writing Skills,13,34,School & Adventure
403,Handling Fear During a Thunderstorm,1,35,Animals & School
404,Packing an Emergency Go-Bag,10,27,Animals & Family
405,Asking for Clarification When Unsure,1,36,Animals & School
406,Encouraging Team Members to Share Ideas,5,39,Animals & Family
407,Setting Realistic Goals for a Project,11,37,Family & School
408,Debugging Simple Coding Errors,10,30,Animals & Family
409,Identifying Safe Online Communities,13,35,School & Adventure
410,Learning Basic First Aid for Small Injuries,14,43,Animals & Family
411,Handling a Bike Accident Safely,10,31,Animals & Family
412,Exploring the Basics of 3D Printing,10,35,Animals & Family
413,Making a Poster to Raise Awareness,2,34,Family & School
414,Choosing Proper Sources for My Homework,8,39,School & Friendship
415,Coping with Cyberbullying as a Friend,13,37,School & Adventure
416,How to De-escalate an Argument at School,1,40,Animals & School
417,What Is Fairness and Why Does It Matter?,11,40,Family & School
418,Why Some People Need Extra Help,5,31,Animals & Family
419,What Is Online Kindness?,13,24,School & Adventure
420,Why Cultural Festivals Are Important,2,36,Family & School
421,Understanding Digital Responsibility,13,36,School & Adventure
422,What Is Social Justice?,11,23,Family & School
423,Why We Should Help Stray Animals,5,32,Animals & Family
424,Learning to Accept Different Family Structures,11,46,Family & School
425,What Does It Mean to Include Everyone?,11,38,Family & School
426,Why People Protest Peacefully,7,29,Animals & School
427,What Is Gender Equality?,11,24,Family & School
428,Understanding Poverty Around Us,5,31,Animals & Family
429,What Is Religious Tolerance?,11,28,Family & School
430,Why Every Culture Is Unique,11,27,Family & School
431,Exploring Online Friendships,13,28,School & Adventure
432,What Is a Global Citizen?,11,25,Family & School
433,Why Some People Face More Challenges,11,36,Family & School
434,What Does It Mean to Value All Abilities?,11,41,Family & School
435,Understanding the Idea of Carbon Footprint,11,42,Family & School
436,What Is Digital Footprint?,0,26,Animals & School
437,Why Do We Need Fact-Checking?,7,29,Animals & School
438,Learning the Meaning of Philanthropy,5,36,Animals & Family
439,What Is Sustainable Living?,11,27,Family & School
440,Why Words Can Hurt Others,1,25,Animals & School
441,Understanding the Concept of Ethical Choices,11,44,Family & School
442,What Is Social Equality?,11,24,Family & School
443,Why We Should Avoid Gossiping,1,29,Animals & School
444,The Power of Apologizing Sincerely,1,34,Animals & School
445,How Cyberbullying Affects People,13,32,School & Adventure
446,What Is Climate Change Responsibility?,11,38,Family & School
447,Why Some Kids Have to Work Harder,7,33,Animals & School
448,Understanding Different Types of Families,11,41,Family & School
449,What Is a Role Model Online?,13,28,School & Adventure
450,Why Gratitude Helps Us Grow,5,27,Animals & Family
451,What Does Compassion Look Like in Real Life?,5,44,Animals & Family
452,Understanding People from Many Backgrounds,11,42,Family & School
453,What Is Online Reputation?,13,26,School & Adventure
454,Why Helping Others Feels Good,5,29,Animals & Family
455,What Is Emotional Boundaries?,11,29,Family & School
456,"Respecting Private Spaces, Even Online",13,38,School & Adventure
457,What Does Global Awareness Mean?,11,32,Family & School
458,Why Personal Values Guide Our Actions,11,37,Family & School
459,Understanding the Concept of Non-Violence,11,41,Family & School
460,What Is Freedom of Expression?,11,30,Family & School
461,Why Appearances Can Be Misleading,11,33,Family & School
462,Exploring the Meaning of Tolerance,11,34,Family & School
463,What Is an Open-Minded Attitude?,11,32,Family & School
464,Why Differences Make Our World Richer,11,37,Family & School
465,How Digital Spaces Connect Us,13,29,School & Adventure
466,What Is Cooperation Across Borders?,11,35,Family & School
467,Recognizing Privilege and Responsibility,11,40,Family & School
468,Why Listening to Others’ Stories Matters,11,40,Family & School
469,What Does It Mean to Judge Fairly?,11,34,Family & School
470,Understanding That Everyone Learns Differently,11,46,Family & School
471,What Is the Power of Democracy?,11,31,Family & School
472,Why Digital Compassion Is Important,13,35,School & Adventure
473,Defining Empathy in a Global Context,5,36,Animals & Family
474,What Is Inclusion for Special Needs?,5,36,Animals & Family
475,How Generosity Shapes Communities,5,33,Animals & Family
476,Why Some People Face Discrimination,11,35,Family & School
477,What Is Body Positivity and Self-Acceptance?,11,44,Family & School
478,Respecting Our Parents’ Choices,11,31,Family & School
479,Understanding That Mistakes Help Us Grow,11,40,Family & School
480,Why Laughter Helps Bring People Together,5,40,Animals & Family
481,What Is Hope During Difficult Times?,5,36,Animals & Family
482,Learning to See the Good in Everyone,11,36,Family & School
483,Why Manners Still Matter Online,13,31,School & Adventure
484,Exploring Our Differences Without Judgment,11,42,Family & School
485,What Is Freedom from Bullying?,11,30,Family & School
486,Why Telling the Truth Builds Trust,11,34,Family & School
487,How Online Movements Inspire Change,13,35,School & Adventure
488,What Is Peaceful Conflict Resolution?,11,37,Family & School
489,Respecting Different Languages at School,2,40,Family & School
490,Why Some Customs Seem Strange to Us,7,35,Animals & School
491,What Is the Purpose of a Refuge?,7,32,Animals & School
492,Understanding Overcoming Prejudice,11,34,Family & School
